section,emoji_handle,emoji_image,emoji_link
People,yellow_heart,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/yellow_heart.png
People,blue_heart,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/blue_heart.png
People,purple_heart,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/purple_heart.png
People,heart,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/heart.png
People,green_heart,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/green_heart.png
People,broken_heart,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/broken_heart.png
People,heartbeat,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/heartbeat.png
People,heartpulse,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/heartpulse.png
People,two_hearts,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/two_hearts.png
People,revolving_hearts,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/revolving_hearts.png
People,cupid,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/cupid.png
People,sparkling_heart,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/sparkling_heart.png
People,sparkles,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/sparkles.png
People,star,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/star.png
People,star2,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/star2.png
People,dizzy,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/dizzy.png
People,boom,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/boom.png
People,collision,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/collision.png
People,anger,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/anger.png
People,exclamation,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/exclamation.png
People,question,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/question.png
People,grey_exclamation,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/grey_exclamation.png
People,grey_question,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/grey_question.png
People,zzz,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/zzz.png
People,dash,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/dash.png
People,sweat_drops,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/sweat_drops.png
People,notes,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/notes.png
People,musical_note,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/musical_note.png
People,fire,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/fire.png
People,hankey,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/hankey.png
People,poop,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/poop.png
People,shit,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/shit.png
People,+1,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/plus1.png
People,thumbsup,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/thumbsup.png
People,-1,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/-1.png
People,thumbsdown,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/thumbsdown.png
People,ok_hand,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/ok_hand.png
People,punch,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/punch.png
People,facepunch,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/facepunch.png
People,fist,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/fist.png
People,v,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/v.png
People,wave,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/wave.png
People,hand,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/hand.png
People,raised_hand,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/raised_hand.png
People,open_hands,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/open_hands.png
People,point_up,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/point_up.png
People,point_down,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/point_down.png
People,point_left,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/point_left.png
People,point_right,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/point_right.png
People,raised_hands,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/raised_hands.png
People,pray,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/pray.png
People,point_up_2,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/point_up_2.png
People,clap,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/clap.png
People,muscle,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/muscle.png
People,metal,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/metal.png
People,fu,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/fu.png
People,runner,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/runner.png
People,running,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/running.png
People,couple,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/couple.png
People,family,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/family.png
People,two_men_holding_hands,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/two_men_holding_hands.png
People,two_women_holding_hands,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/two_women_holding_hands.png
People,dancer,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/dancer.png
People,dancers,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/dancers.png
People,ok_woman,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/ok_woman.png
People,no_good,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/no_good.png
People,information_desk_person,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/information_desk_person.png
People,raising_hand,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/raising_hand.png
People,bride_with_veil,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/bride_with_veil.png
People,person_with_pouting_face,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/person_with_pouting_face.png
People,person_frowning,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/person_frowning.png
People,bow,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/bow.png
People,couplekiss,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/couplekiss.png
People,couple_with_heart,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/couple_with_heart.png
People,massage,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/massage.png
People,haircut,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/haircut.png
People,nail_care,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/nail_care.png
People,boy,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/boy.png
People,girl,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/girl.png
People,woman,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/woman.png
People,man,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/man.png
People,baby,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/baby.png
People,older_woman,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/older_woman.png
People,older_man,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/older_man.png
People,person_with_blond_hair,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/person_with_blond_hair.png
People,man_with_gua_pi_mao,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/man_with_gua_pi_mao.png
People,man_with_turban,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/man_with_turban.png
People,construction_worker,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/construction_worker.png
People,cop,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/cop.png
People,angel,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/angel.png
People,princess,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/princess.png
People,smiley_cat,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/smiley_cat.png
People,smile_cat,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/smile_cat.png
People,heart_eyes_cat,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/heart_eyes_cat.png
People,kissing_cat,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/kissing_cat.png
People,smirk_cat,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/smirk_cat.png
People,scream_cat,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/scream_cat.png
People,crying_cat_face,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/crying_cat_face.png
People,joy_cat,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/joy_cat.png
People,pouting_cat,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/pouting_cat.png
People,japanese_ogre,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/japanese_ogre.png
People,japanese_goblin,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/japanese_goblin.png
People,see_no_evil,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/see_no_evil.png
People,hear_no_evil,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/hear_no_evil.png
People,speak_no_evil,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/speak_no_evil.png
People,guardsman,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/guardsman.png
People,skull,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/skull.png
People,feet,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/feet.png
People,lips,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/lips.png
People,kiss,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/kiss.png
People,droplet,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/droplet.png
People,ear,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/ear.png
People,eyes,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/eyes.png
People,nose,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/nose.png
People,tongue,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/tongue.png
People,love_letter,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/love_letter.png
People,bust_in_silhouette,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/bust_in_silhouette.png
People,busts_in_silhouette,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/busts_in_silhouette.png
People,speech_balloon,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/speech_balloon.png
